,Valeur fonciere,Nombre pieces principales,Surface reelle bati
1097037,192000.0,3.0,71.0
1097044,1110000.0,6.0,230.0
1097049,202900.0,4.0,57.0
1097083,180000.0,3.0,65.0
1097088,186000.0,3.0,67.0
1097090,141335.0,2.0,35.0
1097098,73540.0,1.0,21.0
1097104,200000.0,3.0,64.0
1097113,113057.22,1.0,24.0
1097123,162000.0,2.0,39.0
1097137,149247.0,2.0,52.0
1097139,135000.0,3.0,66.0
1097153,140000.0,3.0,55.0
1097156,186030.0,3.0,59.0
1097158,182980.0,4.0,67.0
1097160,1380600.0,4.0,200.0
1097165,65000.0,1.0,15.0
1097167,109000.0,1.0,27.0
1097171,537500.0,3.0,73.0
1097172,276700.0,3.0,68.0
1097174,299000.0,3.0,63.0
1097177,112000.0,2.0,34.0
1097213,430000.0,4.0,120.0
1097219,249220.0,2.0,60.0
1097225,130000.0,1.0,29.0
1097237,105000.0,2.0,39.0
1097240,280000.0,3.0,69.0
1097283,240000.0,3.0,56.0
1097292,131800.0,2.0,46.0
1097298,168000.0,2.0,46.0
1097300,100000.0,1.0,21.0
1097325,142550.0,3.0,58.0
1097334,165000.0,4.0,65.0
1097344,124200.0,3.0,63.0
1097345,178000.0,4.0,80.0
1097353,135000.0,2.0,37.0
1097372,236349.0,5.0,92.0
1097381,91000.0,2.0,39.0
1097390,232598.0,5.0,83.0
1097391,237000.0,4.0,78.0
1097398,152000.0,2.0,46.0
1097402,167000.0,2.0,49.0
1097406,98500.0,3.0,52.0
1097408,105000.0,4.0,68.0
1097411,239000.0,3.0,54.0
1097418,106650.0,3.0,53.0
1097420,251980.0,3.0,75.0
1097432,198000.0,5.0,82.0
1097436,151006.0,3.0,52.0
1097449,100000.0,2.0,39.0
1097453,142000.0,4.0,80.0
1097465,140000.0,2.0,39.0
1097470,154800.0,4.0,71.0
1097476,90327.0,2.0,38.0
1097482,190000.0,3.0,66.0
1097486,192900.0,3.0,60.0
1097487,196741.0,2.0,39.0
1097507,155500.0,3.0,56.0
1097508,145450.0,2.0,48.0
1097515,148000.0,3.0,56.0
1097519,142000.0,3.0,61.0
1097523,220000.0,3.0,67.0
1097530,110000.0,1.0,23.0
1097536,222000.0,2.0,43.0
1097543,242000.0,2.0,45.0
1097546,165000.0,4.0,64.0
1097552,597300.0,4.0,102.0
1097561,536432.0,5.0,90.0
1097565,99300.0,1.0,31.0
1097568,263000.0,1.0,29.0
1097569,263000.0,1.0,28.0
1097572,211800.0,1.0,54.0
1097574,164000.0,1.0,42.0
1097575,73000.0,1.0,22.0
1097578,149000.0,3.0,55.0
1097585,102760.0,3.0,59.0
1097590,14000.0,1.0,17.0
1097602,148080.0,3.0,44.0
1097610,200097.0,4.0,79.0
1097613,110250.0,1.0,22.0
1097620,120000.0,2.0,20.0
1097622,71500.0,1.0,20.0
1097623,215000.0,2.0,40.0
1097625,80000.0,1.0,23.0
1097627,118000.0,2.0,42.0
1097643,221000.0,3.0,69.0
1097646,170000.0,3.0,61.0
1097652,234740.0,2.0,52.0
1097654,170000.0,1.0,23.0
1097655,170000.0,1.0,23.0
1097662,111000.0,1.0,27.0
1097665,267400.0,2.0,55.0
1097666,118700.0,1.0,20.0
1097668,119920.0,2.0,45.0
1097677,180000.0,4.0,68.0
1097687,82100.0,2.0,36.0
1097689,103000.0,3.0,55.0
1097692,124500.0,2.0,40.0
1097694,131500.0,2.0,42.0
1097699,262000.0,2.0,53.0
1097702,250600.0,3.0,63.0
1097715,94575.0,1.0,30.0
1097718,642500.0,4.0,125.0
1097722,220000.0,3.0,64.0
1097724,210000.0,3.0,72.0
1097733,475000.0,4.0,91.0
1097736,69000.0,1.0,22.0
1097738,474500.0,5.0,135.0
1097748,85000.0,1.0,31.0
1097758,262750.0,3.0,71.0
1097769,1520000.0,2.0,50.0
1097770,1520000.0,2.0,50.0
1097771,1520000.0,2.0,40.0
1097772,1520000.0,2.0,50.0
1097773,1520000.0,1.0,22.0
1097774,1520000.0,1.0,22.0
1097775,1520000.0,2.0,40.0
1097776,1520000.0,1.0,28.0
1097777,1520000.0,1.0,22.0
1097778,1520000.0,1.0,22.0
1097779,1520000.0,1.0,20.0
1097780,1520000.0,1.0,18.0
1097781,1520000.0,1.0,18.0
1097782,1520000.0,1.0,22.0
1097783,1520000.0,1.0,22.0
1097784,1520000.0,1.0,22.0
1097785,1520000.0,1.0,18.0
1097786,145000.0,4.0,100.0
1097793,106000.0,1.0,19.0
1097811,170000.0,2.0,30.0
1097828,228000.0,4.0,70.0
1097837,150000.0,1.0,31.0
1097839,199900.0,4.0,64.0
1097857,214500.0,5.0,96.0
1097861,102000.0,4.0,85.0
1097876,173000.0,4.0,81.0
1097877,113000.0,2.0,42.0
1097879,180000.0,3.0,63.0
1097892,142000.0,1.0,33.0
1097903,181100.0,5.0,77.0
1097915,395000.0,4.0,87.0
1097927,120000.0,2.0,42.0
1097930,220850.0,4.0,90.0
1097936,112000.0,2.0,46.0
1097937,247000.0,2.0,59.0
1097938,194100.0,3.0,44.0
1097941,322754.0,2.0,69.0
1097943,80000.0,1.0,24.0
1097950,267650.0,3.0,66.0
1097952,350000.0,3.0,79.0
1097954,252950.0,3.0,71.0
1097957,106470.0,2.0,25.0
1097959,258500.0,3.0,60.0
1097965,50000.0,1.0,25.0
1097969,100000.0,4.0,66.0
1097974,570000.0,4.0,92.0
1097975,222500.0,3.0,72.0
1097982,175000.0,1.0,33.0
1097991,145990.0,2.0,40.0
1097992,119000.0,2.0,42.0
1097995,105000.0,2.0,40.0
1097998,507700.0,5.0,101.0
1097999,50000.0,1.0,18.0
1098002,234000.0,4.0,67.0
1098006,100000.0,2.0,35.0
1098012,320900.0,5.0,86.0
1098014,143140.0,2.0,48.0
1098024,97702.0,1.0,25.0
1098028,128000.0,2.0,40.0
1098033,165000.0,3.0,55.0
1098039,106000.0,1.0,25.0
1098055,179000.0,3.0,61.0
1098062,150000.0,2.0,61.0
1098065,476000.0,4.0,96.0
1098067,141500.0,3.0,49.0
1098070,221700.0,3.0,51.0
1098073,160000.0,3.0,61.0
1098077,193800.0,3.0,62.0
1098092,352000.0,4.0,85.0
1098094,180000.0,2.0,53.0
1098099,193030.0,3.0,60.0
1098101,430000.0,1.0,25.0
1098102,430000.0,1.0,36.0
1098103,430000.0,1.0,36.0
1098116,140000.0,3.0,65.0
1098129,202200.0,3.0,61.0
1098132,86000.0,1.0,33.0
1098133,175000.0,4.0,70.0
1098137,215000.0,3.0,64.0
1098138,249450.0,3.0,68.0
1098142,119700.0,4.0,80.0
1098147,373852.0,3.0,104.0
1098152,142500.0,2.0,37.0
1098164,129600.0,1.0,19.0
1098176,206378.0,2.0,60.0
1098188,332500.0,3.0,70.0
1098201,129600.0,2.0,42.0
1098203,1111111.0,4.0,70.0
1098205,1111111.0,1.0,25.0
1098210,1111111.0,0.0,18.0
1098211,1111111.0,3.0,45.0
